"","carrier","mean_delay","name"
"1","F9",20.2155425219941,"Frontier Airlines Inc."
"2","EV",19.9553898278682,"ExpressJet Airlines Inc."
"3","YV",18.9963302752294,"Mesa Airlines Inc."
"4","FL",18.7260746783809,"AirTran Airways Corporation"
"5","WN",17.711743772242,"Southwest Airlines Co."
"6","9E",16.7257694074414,"Endeavor Air Inc."
"7","B6",13.02252210674,"JetBlue Airways"
"8","VX",12.8694211654648,"Virgin America"
"9","OO",12.5862068965517,"SkyWest Airlines Inc."
"10","UA",12.1060728884596,"United Air Lines Inc."
"11","MQ",10.5520406946707,"Envoy Air"
"12","DL",9.26450451204958,"Delta Air Lines Inc."
"13","AA",8.58601564204032,"American Airlines Inc."
"14","AS",5.80477528089888,"Alaska Airlines Inc."
"15","HA",4.90058479532164,"Hawaiian Airlines Inc."
"16","US",3.78241835656418,"US Airways Inc."
